,0
551,ENSG00000007908
552,ENSG00000104218
553,ENSG00000167280
554,ENSG00000128908
555,ENSG00000163874
556,ENSG00000070610
557,ENSG00000189051
558,ENSG00000049249
559,ENSG00000164430
560,ENSG00000167608
561,ENSG00000065675
562,ENSG00000206530
563,ENSG00000141956
564,ENSG00000106404
565,ENSG00000172932
566,ENSG00000125386
567,ENSG00000167281
568,ENSG00000119844
569,ENSG00000149115
570,ENSG00000173559
571,ENSG00000166111
572,ENSG00000162971
573,ENSG00000168002
574,ENSG00000174718
575,ENSG00000145777
576,ENSG00000125999
577,ENSG00000205560
578,ENSG00000109320
579,ENSG00000089351
580,ENSG00000106608
581,ENSG00000169155
582,ENSG00000163659
583,ENSG00000175946
584,ENSG00000133858
585,ENSG00000163545
586,ENSG00000153012
587,ENSG00000164920
588,ENSG00000103449
589,ENSG00000164344
590,ENSG00000163660
591,ENSG00000162039
592,ENSG00000163661
593,ENSG00000095739
594,ENSG00000164953
595,ENSG00000185917
596,ENSG00000121060
597,ENSG00000180376
598,ENSG00000214226
599,ENSG00000104825
600,ENSG00000204103
601,ENSG00000168779
602,ENSG00000007384
603,ENSG00000198157
604,ENSG00000151746
605,ENSG00000033030
606,ENSG00000101213
607,ENSG00000141448
608,ENSG00000185112
609,ENSG00000101745
610,ENSG00000189195
611,ENSG00000163251
612,ENSG00000151715
613,ENSG00000092295
614,ENSG00000134539
615,ENSG00000145632
616,ENSG00000225697
617,ENSG00000172421
618,ENSG00000167548
619,ENSG00000172613
620,ENSG00000080511
621,ENSG00000111011
622,ENSG00000158859
623,ENSG00000076108
624,ENSG00000116741
625,ENSG00000205085
626,ENSG00000175505
627,ENSG00000163617
628,ENSG00000162702
629,ENSG00000115009
630,ENSG00000176945
631,ENSG00000183735
632,ENSG00000139163
633,ENSG00000125508
634,ENSG00000123243
635,ENSG00000167105
636,ENSG00000184788
637,ENSG00000173821
638,ENSG00000140853
639,ENSG00000169228
640,ENSG00000160888
641,ENSG00000177570
642,ENSG00000078725
643,ENSG00000164776
644,ENSG00000115165
645,ENSG00000140986
646,ENSG00000168386
647,ENSG00000175213
648,ENSG00000124882
649,ENSG00000130066
650,ENSG00000167615
651,ENSG00000121486
652,ENSG00000114857
653,ENSG00000150477
654,ENSG00000054690
655,ENSG00000128342
656,ENSG00000188157
657,ENSG00000198133
658,ENSG00000149716
659,ENSG00000220201
660,ENSG00000068976
661,ENSG00000167483
662,ENSG00000137393
663,ENSG00000137745
664,ENSG00000165912
665,ENSG00000198203
666,ENSG00000111679
667,ENSG00000169045
668,ENSG00000124222
