Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000127955	0.086128264	0.534921154	0.822737338	-0.206217411	0.347460483	0.688829106	1.001343468	2.51E-05	0.000235871	-1.585804795	1.90E-07	2.05E-06	-0.150166556	0.48147454	0.863359939	-0.200768096	0.290729778	0.583066219	-0.070778487	0.480236768	0.830880071	-0.693768728	0.000708076	0.004631124	-0.35150686	0.011560604	0.052976155	0.228273591	0.040036137	0.182707752
ENSG00000088970	0.077364208	0.586904035	0.865963585	0.177263766	0.252007326	0.565857587	-0.348632081	0.032652812	0.118646359	-0.565195173	0.036864352	0.106570084	-0.602441749	0.021425493	0.098393198	0.284906997	0.107254597	0.280621342	-0.015129847	0.91949477	1	-0.632101865	0.012067309	0.051763582	0.500093631	0.134637218	0.36033955	-0.122361868	0.479400239	0.87826938
ENSG00000157613	-0.552992782	0.000439334	0.002328081	0.450670057	0.069772932	0.225957443	0.036620723	0.795852272	1	-0.412696347	0.111728149	0.260038299	-0.044337815	0.767323145	1	-0.115334093	0.385733253	0.707775006	0.111740046	0.284519516	0.568306179	-0.018763135	0.935922423	1	0.31058882	0.130072044	0.351905847	-0.185501417	0.119587894	0.394517519
ENSG00000082126	3.727977113	8.41E-05	0.000529234	-1.847018333	0.021897637	0.091331556	-0.512312284	0.600176177	0.976251595	-0.391933368	1	1	0.596855408	0.510438891	0.895400649	0.184810824	0.645229541	0.987567485	-0.633112581	0.188768334	0.425235294	-0.067177932	0.856520064	1	-1.301668429	0.372726108	0.71462576	1.025623593	0.317326467	0.698293026
ENSG00000196372	0.857555416	0.013026575	0.04519213	-0.632055892	0.022873508	0.094557332	1.112446159	4.13E-07	5.61E-06	0.296349145	0.085021069	0.210263057	-0.821323927	0.001763104	0.012971454	0.320777077	0.014003178	0.054910841	0.149582237	0.34606404	0.656376833	-0.00416276	0.996581043	1	0.134040052	0.630326549	0.982601099	-0.45291481	0.55573935	0.934404462
ENSG00000135365	0.578728509	3.49E-05	0.000242191	0.686353174	0.003353353	0.019429188	-0.144944615	0.057140426	0.185770366	0.349914012	0.002095965	0.00952644	0.519724788	7.16E-05	0.000838414	0.539343405	3.83E-06	3.85E-05	0.31632277	0.002441949	0.011454177	0.432996007	0.017146486	0.068356955	0.706138222	1.34E-07	2.79E-06	0.40136331	0.000140126	0.001971824
ENSG00000134070	2.572375117	4.42E-15	1.35E-13	2.0530783	1.72E-08	3.50E-07	0.004986676	0.966689707	1	1.358000234	2.07E-08	2.60E-07	3.171294737	3.47E-28	5.33E-26	2.66886472	4.17E-46	4.81E-44	2.918800313	2.62E-24	1.74E-22	3.629426798	1.48E-36	1.73E-34	1.954876102	1.12E-22	1.04E-20	1.631336706	1.05E-05	0.000213829
ENSG00000157017	0	1	1	0	1	1	2.859554709	0.14319444	0.374874022	-0.134101182	0.943139467	1	0	1	1	1.454386567	0.530239481	0.863409701	0	1	1	0.417976262	0.686157813	0.965040731	0.025983005	1	1	0	1	1
ENSG00000161202	0.269730221	0.010278352	0.036783963	-0.091285028	0.687491942	1	-0.376901372	9.63E-07	1.22E-05	-0.364369653	0.016738159	0.055501271	-0.372972015	0.002431034	0.01688885	-0.61944584	5.30E-06	5.20E-05	-0.38361854	0.000224182	0.001391313	-0.264021092	0.157504167	0.370003627	0.083128172	0.521218688	0.889754891	0.190936484	0.089877456	0.323895167
ENSG00000003393	-0.488188771	0.000573039	0.002948338	-0.525072193	9.21E-05	0.000869622	0.486797189	1.48E-06	1.81E-05	-0.521659124	0.00576274	0.02296166	-0.352794216	0.026037655	0.114646108	-0.690584619	1.51E-07	1.91E-06	-0.466726402	0.000931994	0.004921841	-0.344169285	0.042484724	0.139902063	-0.520430514	5.25E-05	0.000556796	-0.291697676	0.021013573	0.11282695
ENSG00000120051	0.848059225	0.499367277	0.784505479	0.923400707	0.307655547	0.649726902	2.716885345	0.188281335	0.452190839	-2.365368084	0.17606025	0.367618224	3.318274653	0.015931711	0.077557959	0.253293592	0.617955775	0.95986483	-0.190865381	0.469697944	0.81903009	0.951979901	0.018839629	0.07374893	-0.951342448	0.067830769	0.213973567	0.488439679	0.219531542	0.575703189
ENSG00000165905	-1.400339404	0.41928808	0.691304087	0	1	1	-0.354680997	0.813052209	1	-2.38163	0.325755326	0.575766792	3.050887954	0.106112107	0.323702254	1.599510458	0.373600206	0.693329716	2.721132436	0.010420504	0.040124467	0	1	1	-1.002376327	0.447435547	0.807341975	0.45484543	0.722504895	1
ENSG00000144712	-0.781699735	0.176115551	0.373849331	-0.511169661	0.440760535	0.811074667	0.444838171	0.028582729	0.105997533	-0.803350753	0.288971269	0.535435331	-1.646999941	0.003363421	0.022108365	0.131666234	0.684554919	1	-0.68090076	0.002434798	0.011430012	-0.978983697	0.010647466	0.046793751	-0.582049403	0.407000681	0.758319539	-0.60316513	0.587828842	0.961661255
ENSG00000121680	0.502695627	0.006867026	0.026106643	0.244854661	0.361006005	0.70739265	0.698877778	0.000173497	0.001309557	0.489835643	0.055063782	0.147639187	0.016494361	1	1	-0.055718848	0.808645307	1	0.292265557	0.01323256	0.04919682	0.398251108	0.253974146	0.513737025	0.790355738	0.000414739	0.003303979	0.479503646	0.011553628	0.071619212
ENSG00000166963	-0.16204084	0.280801816	0.524275985	-0.928217444	1.79E-06	2.55E-05	-0.376363625	0.000546758	0.003617809	-0.26656253	0.134473	0.301022843	-0.725579709	0.003785481	0.024341206	-0.979256839	7.51E-12	1.64E-10	-0.5894881	6.98E-05	0.000488479	-1.044052959	0.002379638	0.013262695	-0.174628421	0.221031778	0.506658648	-0.143115544	0.147342369	0.450003123
ENSG00000214415	1.424191257	0.558753123	0.8365796	0	1	1	5.13E-15	1	1	0.979731278	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1.358509714	0.493023959	0.859352706	0	1	1
