Gene	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value	Rattus norvegicus FC	Rattus norvegicus P-value	Rattus norvegicus Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value
ENSG00000115457	-0.108657369	0.793918107	1	-0.121456683	0.75264669	1	-3.155184689	0.283678088	0.937393487	0.076020921	0.933073066	1
ENSG00000071242	-0.144386685	0.482562076	0.90718837	-0.476164938	0.237751329	0.537325476	-0.274914381	0.35231855	1	-0.376407346	0.171004539	0.699595279
ENSG00000138375	-0.085882729	0.449538375	0.873883084	-0.096864399	0.563717724	0.904127618	-0.006003369	0.986040915	1	-0.089788278	0.69748449	1
ENSG00000138758	-0.23574298	0.036042727	0.186720808	-0.543669259	2.00E-05	0.000314605	-0.173132904	0.262145845	0.92581908	-0.016883719	0.939450326	1
ENSG00000152642	-0.502394777	0.001243356	0.015553397	-0.744352747	2.25E-05	0.000347726	-0.44950746	0.037173336	0.308803102	-0.419837713	0.054197421	0.351041953
ENSG00000060762	-0.207010603	0.237402636	0.623640898	-0.45352121	0.012486837	0.061781204	-0.261286034	0.105120495	0.572287931	0.103166565	0.608648823	1
ENSG00000170293	-0.302966534	0.669191491	1	0.499949548	0.695670533	1	3.543297472	0.159371918	0.716534308	0.156892672	1	1
ENSG00000161610	1.843380308	0.51639458	0.919476369	2.083639359	0.52123086	0.862732457	0	1	1	0	1	1
ENSG00000153551	0.153891811	0.29890103	0.700146056	-0.065576305	0.70499589	1	-0.133077167	0.528304823	1	0.066864388	0.796377519	1
ENSG00000164458	0	1	1	0	1	1	0	1	1	0	1	1
ENSG00000091317	-0.426648893	0.007670938	0.062220182	-0.690039161	2.97E-05	0.000440239	-0.093367817	0.588042094	1	0.418974916	0.013752789	0.135450357
ENSG00000144635	-0.257447925	0.029601296	0.162815392	-0.25949509	0.037540572	0.142379247	-0.216162196	0.131260727	0.653165573	-0.171915936	0.407109199	1
ENSG00000079246	-0.390362908	0.000732306	0.010133339	-0.617684735	1.89E-05	0.00030071	-0.152668602	0.346183688	1	-0.124986735	0.520810679	1
ENSG00000163449	-0.862393242	0.106286668	0.380876671	-0.641562244	1	1	0.206883333	1	1	1.840774493	1	1
ENSG00000182973	-0.107610228	0.402480415	0.829201264	-0.198023053	0.151232757	0.393683382	0.149708576	0.354254972	1	0.063847147	0.737202546	1
ENSG00000115425	-0.318831333	0.121137901	0.41334585	-0.806257453	0.000477658	0.004590611	-0.130786795	0.622462038	1	-0.056032938	0.864919642	1
ENSG00000179152	-0.338669355	0.129177504	0.431292186	-0.812082325	0.000435307	0.004258701	0.140942548	0.513613811	1	0.173273124	0.632492429	1
ENSG00000138760	-0.210141852	0.256342951	0.651379204	-0.69852518	4.74E-08	1.51E-06	-0.350671799	0.047950108	0.358518511	-0.014110034	0.943848977	1
ENSG00000169967	0.291172341	0.084759238	0.327693585	-0.137226489	0.439902602	0.795304972	0.453604566	0.015247644	0.167504519	-1.078483851	0.00293028	0.040385935
ENSG00000186007	0	1	1	0	1	1	1.934873372	1	1	3.434254329	0.156943336	0.665684587
ENSG00000075413	0.203724973	0.074321554	0.300859516	0.086688106	0.558241266	0.898685118	-0.054945009	0.727249514	1	0.070118918	0.750893474	1
ENSG00000138750	-0.205133973	0.141537469	0.457271621	-0.369498801	0.00723377	0.040322192	-0.018575025	0.921249658	1	0.038874676	0.839829948	1
ENSG00000075415	-0.249377257	0.035490607	0.184885231	-0.345339918	0.024073176	0.102487972	-0.133720832	0.428299328	1	-0.059016917	0.693349959	1
ENSG00000163161	0.078204598	0.493435458	0.917087133	-0.133928581	0.58786723	0.929157772	-0.124293917	0.390410611	1	0.099052198	0.559909316	1
ENSG00000144647	-0.163511062	0.460780594	0.885342233	0.36236873	0.045651371	0.165067278	-0.467403239	0.056483797	0.397185772	-0.168160525	0.479217848	1
ENSG00000166166	0.06729169	0.6306158	1	0.360733305	0.057563849	0.196016944	0.02651055	0.930783396	1	0.019039213	0.946379849	1
ENSG00000138744	-0.081906968	0.666515007	1	-0.612789332	0.006618158	0.037570238	-0.376407759	0.658495824	1	-0.058108346	0.82928308	1
ENSG00000120868	-0.331017022	0.003368113	0.033346012	-0.766779316	8.18E-05	0.001038674	0.467012556	0.006069982	0.085147272	0.339642504	0.217110101	0.798613101
ENSG00000126215	0.07039822	0.794698521	1	0.227222395	0.282377524	0.593939932	0.105496311	0.84227306	1	0.227570193	0.557952458	1
ENSG00000100711	-0.236800325	0.048932342	0.22986767	-0.296189505	0.02894873	0.117494261	-0.448114024	0.04597269	0.349593997	-0.637783907	0.002535797	0.03599708
ENSG00000112541	-0.023706618	1	1	-0.090924885	0.906109042	1	-0.017645392	1	1	-0.14748032	0.561587285	1
ENSG00000136717	-0.174792682	0.370704457	0.791806072	-0.170331458	0.263998077	0.576122056	-0.053788699	0.79415077	1	-0.234512676	0.17710146	0.711805351
ENSG00000198301	0.269278523	0.015558226	0.104190404	0.263824769	0.037414123	0.141994628	0.185873303	0.359790166	1	0.648726123	0.000540238	0.009958332
ENSG00000121380	0.74391102	0.326653325	0.734001346	0	1	1	0.004751426	1	1	-1.868718125	0.408089147	1
ENSG00000088808	0.28266907	0.248493537	0.639976426	0.122873596	0.673356174	1	-0.138960244	0.614956866	1	-0.454221133	0.040388716	0.289549456
ENSG00000185046	1.675356929	0.01714936	0.111768667	0.435765351	0.535054361	0.875470739	0.396902055	1	1	0.161991137	0.654006869	1
ENSG00000132465	-0.584867574	0.791385109	1	1.209421969	0.170827122	0.426066776	-0.060292156	1	1	0	1	1
ENSG00000112531	-0.129556352	0.438832503	0.862948196	-0.373657817	0.010264719	0.053305371	-0.439517424	0.012034437	0.141252756	-0.548653765	0.018294177	0.166823282
ENSG00000111647	-0.338601404	0.004464994	0.041270545	-0.674906265	4.75E-06	9.29E-05	0.048066497	0.782480423	1	0.140854816	0.536879762	1
ENSG00000156414	-0.356541977	0.707384728	1	2.944898931	0.038795827	0.145929135	0	1	1	-1.403039481	0.51651564	1
ENSG00000136021	-0.315575353	0.005362275	0.04752629	-0.331819945	0.02627832	0.109182574	0.283250554	0.118310125	0.612572324	0.092848861	0.690997833	1
ENSG00000143621	-0.208164528	0.132475064	0.437556364	-0.116472207	0.400882711	0.75035504	-0.163537166	0.284242526	0.937691086	-0.011656627	0.962070048	1
ENSG00000026652	0.156107076	0.399087013	0.825474898	-0.474433312	0.085007207	0.261594219	0.224605657	0.150665639	0.704879162	0.121931511	0.606309291	1
ENSG00000166183	-0.015159965	1	1	0	1	1	0.54918499	0.278519523	0.937393487	0.142077185	1	1
ENSG00000066735	-0.326901975	0.613493629	1	1.252809172	0.037382158	0.141948232	-0.247639494	0.571314247	1	-0.895183846	0.01647799	0.154068143
ENSG00000258986	-1.361006192	0.326894449	0.734263763	-1.036826191	0.350656697	0.68431032	0	1	1	-0.529261561	0.241678717	0.844507915
ENSG00000158186	-0.298916301	0.042256777	0.208605119	-0.408705529	0.060862773	0.204188449	-0.100142506	0.622265628	1	-0.330143632	0.110255704	0.544378764
ENSG00000012504	5.75271112	0.000113093	0.002184465	0	1	1	0	1	1	1.181367305	0.184353745	0.728185587
ENSG00000088179	-0.504542899	0.001952337	0.021943632	-0.510308794	0.06535255	0.215893599	-0.860234205	0.004379475	0.066009257	-0.616886075	0.095847023	0.501972731
ENSG00000115109	0.174359376	0.322491996	0.729308689	-0.314791302	0.30891277	0.630212435	0.061614116	0.891504156	1	0.105869975	0.77823441	1
ENSG00000145321	0	1	1	0	1	1	0	1	1	0	1	1
